# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
toast.backupSettingsSaved	Toast parametri backup salvati	Parametri backup salvati.	Backup settings saved.	Paramètres de sauvegarde enregistrés.	Parámetros de copia de seguridad guardados.	Backup-Einstellungen gespeichert.
toast.codeDuplicate	Toast codice sede duplicato	Codice sede già in uso. Scegline uno diverso.	Location code already in use. Choose a different one.	Code de lieu déjà utilisé. Choisissez-en un autre.	El código de ubicación ya está en uso. Elija uno diferente.	Standortcode wird bereits verwendet. Wählen Sie einen anderen.
toast.dateDeleted	Toast data eliminata	Data eliminata.	Date deleted.	Date supprimée.	Fecha eliminada.	Datum gelöscht.
toast.datesSaved	Toast date salvate	Date salvate!	Dates saved!	Dates enregistrées !	¡Fechas guardadas!	Daten gespeichert!
toast.descriptionRequired	Toast descrizione obbligatoria	La descrizione è obbligatoria.	Description is required.	La description est obligatoire.	La descripción es obligatoria.	Die Beschreibung ist erforderlich.
toast.emailError	Toast: errore invio email	Errore durante l'invio dell'email.	Error sending the email.	Erreur lors de l'envoi de l'e-mail.	Error al enviar el email.	Fehler beim Senden der E-Mail.
toast.emailSent	Toast: email inviata	Email inviata!	Email sent!	E-mail envoyé !	¡Email enviado!	E-Mail gesendet!
toast.emailSettingsSaved	Toast: parametri email salvati	Parametri email salvati: effetto immediato.	Email settings saved: effective immediately.	Paramètres e-mail enregistrés : effet immédiat.	Parámetros de email guardados: efecto inmediato.	E-Mail-Einstellungen gespeichert: sofort wirksam.
toast.emailTemplateSaved	Toast: template email salvato	Template email salvato.	Email template saved.	Modèle d'e-mail enregistré.	Plantilla de email guardada.	E-Mail-Vorlage gespeichert.
toast.emailsFailed	Suffisso conteggio email non inviate (bulk)	email non inviate	emails failed	e-mails non envoyés	emails fallidos	E-Mails fehlgeschlagen
toast.emailsSent	Suffisso conteggio email inviate (bulk)	email inviate	emails sent	e-mails envoyés	emails enviados	E-Mails gesendet
toast.employeeAdded	Toast dipendente aggiunto	Operatore aggiunto!	Operator added!	Opérateur ajouté !	¡Operador añadido!	Mitarbeiter hinzugefügt!
toast.employeeCodeDuplicate	Toast codice dipendente duplicato	Codice operatore già in uso. Scegline uno diverso.	Operator code already in use. Choose a different one.	Code d'opérateur déjà utilisé. Choisissez-en un autre.	El código de operador ya está en uso. Elija uno diferente.	Mitarbeitercode wird bereits verwendet. Wählen Sie einen anderen.
toast.employeeDeleted	Toast dipendente eliminato	Operatore eliminato.	Operator deleted.	Opérateur supprimé.	Operador eliminado.	Mitarbeiter gelöscht.
toast.employeeUpdated	Toast dipendente aggiornato	Operatore aggiornato!	Operator updated!	Opérateur mis à jour !	¡Operador actualizado!	Mitarbeiter aktualisiert!
toast.endAfterStart	Toast orario fine dopo inizio	L'orario di fine deve essere dopo l'inizio.	End time must be after start time.	L’heure de fin doit être après le début.	La hora de fin debe ser posterior al inicio.	Die Endzeit muss nach der Startzeit liegen.
toast.error	Titolo toast Errore	Errore	Error	Erreur	Error	Fehler
toast.errorAdd	Toast errore aggiunta	Errore durante l'aggiunta.	Error while adding.	Erreur lors de l'ajout.	Error al añadir.	Fehler beim Hinzufügen.
toast.errorDelete	Toast errore eliminazione	Errore durante l'eliminazione.	Error while deleting.	Erreur lors de la suppression.	Error al eliminar.	Fehler beim Löschen.
toast.errorEdit	Toast errore modifica	Errore durante la modifica.	Error while editing.	Erreur lors de la modification.	Error durante la edición.	Fehler bei der Bearbeitung.
toast.errorLoad	Toast errore caricamento	Errore nel caricamento.	Error while loading.	Erreur lors du chargement.	Error al cargar.	Fehler beim Laden.
toast.errorLoadCalendar	Toast errore caricamento calendario	Errore nel caricamento del calendario.	Error loading the calendar.	Erreur lors du chargement du calendrier.	Error al cargar el calendario.	Fehler beim Laden des Kalenders.
toast.errorLoadDates	Toast errore caricamento date	Errore nel caricamento delle date.	Error loading the dates.	Erreur lors du chargement des dates.	Error al cargar las fechas.	Fehler beim Laden der Daten.
toast.errorSave	Toast errore salvataggio	Errore durante il salvataggio.	Error while saving.	Erreur lors de l'enregistrement.	Error al guardar.	Fehler beim Speichern.
toast.errorSolverPolling	Toast errore polling solver	Errore durante il polling del solver.	Error while polling the solver.	Erreur lors de l'interrogation du solveur.	Error durante el sondeo del solver.	Fehler beim Abfragen des Solvers.
toast.errorSolverStart	Toast errore avvio solver	Errore durante l'avvio del solver.	Error starting the solver.	Erreur lors du démarrage du solveur.	Error al iniciar el solver.	Fehler beim Starten des Solvers.
toast.generalSettingsSaved	Toast salvataggio Parametri generali	Parametri generali salvati.	General settings saved.	Paramètres généraux enregistrés.	Parámetros generales guardados.	Allgemeine Einstellungen gespeichert.
toast.info	Titolo toast Informazione	Informazione	Information	Information	Información	Information
toast.insertStartEnd	Toast inserisci inizio e fine	Inserisci orario di inizio e fine.	Enter start and end time.	Saisissez l'heure de début et de fin.	Introduzca la hora de inicio y de fin.	Start- und Endzeit eingeben.
toast.invalidDateFormat	Toast formato data non valido	Formato data/ora non valido.	Invalid date/time format.	Format de date/heure non valide.	Formato de fecha/hora no válido.	Ungültiges Datums-/Zeitformat.
toast.keyRequired	Toast chiave obbligatoria	La chiave è obbligatoria.	The key is required.	La clé est obligatoire.	La clave es obligatoria.	Der Schlüssel ist erforderlich.
toast.labelAdded	Toast etichetta aggiunta	Etichetta aggiunta.	Label added.	Étiquette ajoutée.	Etiqueta añadida.	Etikett hinzugefügt.
toast.labelUpdated	Toast etichetta aggiornata	Etichetta aggiornata.	Label updated.	Étiquette mise à jour.	Etiqueta actualizada.	Etikett aktualisiert.
toast.locationAdded	Toast sede aggiunta	Sede aggiunta!	Location added!	Lieu ajouté !	¡Ubicación añadida!	Standort hinzugefügt!
toast.locationDeleted	Toast sede eliminata	Sede eliminata.	Location deleted.	Lieu supprimé.	Ubicación eliminada.	Standort gelöscht.
toast.locationSkillsLoadFailed	Toast errore caricamento skill sede	Impossibile caricare le skill della sede: verificale prima di salvare.	Could not load the location's skills: check them before saving.	Impossible de charger les compétences du lieu : vérifiez-les avant d'enregistrer.	No se pudieron cargar las competencias de la sede: verifíquelas antes de guardar.	Die Fähigkeiten des Standorts konnten nicht geladen werden: vor dem Speichern prüfen.
toast.locationUpdated	Toast sede aggiornata	Sede aggiornata!	Location updated!	Lieu mis à jour !	¡Ubicación actualizada!	Standort aktualisiert!
toast.pdfTemplateSaved	Toast template PDF salvato	Template PDF salvato.	PDF template saved.	Modèle PDF enregistré.	Plantilla PDF guardada.	PDF-Vorlage gespeichert.
toast.restoreError	Toast: errore ripristino	Errore durante il ripristino.	Error during restore.	Erreur lors de la restauration.	Error durante la restauración.	Fehler bei der Wiederherstellung.
toast.restored	Toast: database ripristinato	Database ripristinato. Ricarico la pagina…	Database restored. Reloading the page…	Base de données restaurée. Rechargement de la page…	Base de datos restaurada. Recargando la página…	Datenbank wiederhergestellt. Seite wird neu geladen…
toast.savedTemplateAdded	Messaggio template salvato aggiunto	Template salvato!	Template saved!	Modèle enregistré !	¡Plantilla guardada!	Vorlage gespeichert!
toast.savedTemplateDeleted	Messaggio template salvato eliminato	Template eliminato.	Template deleted.	Modèle supprimé.	Plantilla eliminada.	Vorlage gelöscht.
toast.selectLocation	Toast seleziona una sede	Seleziona una sede.	Select a location.	Sélectionnez un lieu.	Seleccione una ubicación.	Wählen Sie einen Standort.
toast.shiftAdded	Toast turno aggiunto	Turno aggiunto!	Shift added!	Quart ajouté !	¡Turno añadido!	Schicht hinzugefügt!
toast.shiftDeleted	Toast turno eliminato	Turno eliminato.	Shift deleted.	Quart supprimé.	Turno eliminado.	Schicht gelöscht.
toast.shiftNoCrossDay	Toast turno non puo coprire due giorni	Il turno non può coprire due giorni.	A shift cannot span two days.	Un quart ne peut pas couvrir deux jours.	Un turno no puede abarcar dos días.	Eine Schicht kann sich nicht über zwei Tage erstrecken.
toast.shiftUpdated	Toast turno aggiornato	Turno aggiornato!	Shift updated!	Quart mis à jour !	¡Turno actualizado!	Schicht aktualisiert!
toast.solutionDiscarded	Toast: soluzione solver scartata	Soluzione scartata.	Solution discarded.	Solution ignorée.	Solución descartada.	Lösung verworfen.
toast.solveCompleted	Toast solve completato	Solve completato!	Solve completed!	Résolution terminée !	¡Resolución completada!	Lösung abgeschlossen!
toast.solverSettingsSaved	Etichetta sezione Parametri Solver	Parametri Solver salvati.	Solver settings saved.	Paramètres du solveur enregistrés.	Parámetros del solver guardados.	Solver-Einstellungen gespeichert.
toast.specialistAdded	Toast specialista aggiunto	Specialista aggiunto!	Specialist added!	Spécialiste ajouté !	¡Especialista añadido!	Spezialist hinzugefügt!
toast.specialistCodeDuplicate	Toast codice specialista duplicato	Codice specialista già in uso. Scegline uno diverso.	Specialist code already in use. Choose a different one.	Code de spécialiste déjà utilisé. Choisissez-en un autre.	El código de especialista ya está en uso. Elija uno diferente.	Spezialistencode wird bereits verwendet. Wählen Sie einen anderen.
toast.specialistDeleted	Toast specialista eliminato	Specialista eliminato.	Specialist deleted.	Spécialiste supprimé.	Especialista eliminado.	Spezialist gelöscht.
toast.specialistUpdated	Toast specialista aggiornato	Specialista aggiornato!	Specialist updated!	Spécialiste mis à jour !	¡Especialista actualizado!	Spezialist aktualisiert!
toast.structureAdded	Toast struttura aggiunta	Struttura aggiunta.	Structure added.	Structure ajoutée.	Estructura añadida.	Struktur hinzugefügt.
toast.structureUpdated	Toast struttura aggiornata	Struttura aggiornata.	Structure updated.	Structure mise à jour.	Estructura actualizada.	Struktur aktualisiert.
toast.success	Titolo toast Successo	Successo	Success	Succès	Éxito	Erfolg
toast.templateAdded	Toast template aggiunto	Template aggiunto!	Template added!	Modèle ajouté !	¡Plantilla añadida!	Vorlage hinzugefügt!
toast.templateApplied	Toast turni creati dal template	Turni creati dal template	Shifts created from template	Quarts créés à partir du modèle	Turnos creados desde la plantilla	Schichten aus Vorlage erstellt
toast.templateDeleted	Toast template eliminato	Template eliminato.	Template deleted.	Modèle supprimé.	Plantilla eliminada.	Vorlage gelöscht.
toast.templateDescSaved	Messaggio descrizione template salvata	Descrizione salvata!	Description saved!	Description enregistrée !	¡Descripción guardada!	Beschreibung gespeichert!
toast.templatePrepopulated	Toast template prepopolato	Template prepopolato dalla settimana selezionata.	Template pre-populated from the selected week.	Modèle prérempli à partir de la semaine sélectionnée.	Plantilla rellenada desde la semana seleccionada.	Vorlage aus der ausgewählten Woche vorbefüllt.
toast.templateSaved	Messaggio template salvato dalla settimana	Template aggiornato dalla settimana visibile	Template updated from the visible week	Modèle mis à jour à partir de la semaine visible	Plantilla actualizada desde la semana visible	Vorlage aus der sichtbaren Woche aktualisiert
toast.templateUpdated	Toast template aggiornato	Template aggiornato!	Template updated!	Modèle mis à jour !	¡Plantilla actualizada!	Vorlage aktualisiert!
toast.testEmailSent	Toast: email di prova inviata	Email di prova inviata a	Test email sent to	E-mail de test envoyé à	Email de prueba enviado a	Test-E-Mail gesendet an
toast.warning	Titolo toast Attenzione	Attenzione	Warning	Attention	Atención	Warnung
tooltip.applyTemplate	Tooltip applica template	Sostituisci i turni del periodo visibile con quelli del template	Replace the shifts in the visible period with those from the template	Remplacer les quarts de la période visible par ceux du modèle	Sustituir los turnos del período visible por los de la plantilla	Die Schichten im sichtbaren Zeitraum durch die aus der Vorlage ersetzen
tooltip.clearSearch	Tooltip cancella ricerca	Cancella ricerca	Clear search	Effacer la recherche	Limpiar búsqueda	Suche löschen
tooltip.delete	Tooltip elimina	Elimina	Delete	Supprimer	Eliminar	Löschen
tooltip.deleteEmployee	Tooltip elimina impiegato	Elimina operatore	Delete operator	Supprimer l'opérateur	Eliminar operador	Mitarbeiter löschen
tooltip.deleteLocation	Tooltip elimina sede	Elimina posizione	Delete location	Supprimer le lieu	Eliminar ubicación	Ort löschen
tooltip.edit	Tooltip Modifica (generico)	Modifica	Edit	Modifier	Editar	Bearbeiten
tooltip.editEmployee	Tooltip modifica impiegato	Modifica operatore	Edit operator	Modifier l'opérateur	Editar operador	Mitarbeiter bearbeiten
tooltip.editLocation	Tooltip modifica sede	Modifica Location	Edit location	Modifier le lieu	Editar ubicación	Ort bearbeiten
tooltip.employeeDatesEmpty	Tooltip gestione date dipendente senza date	Gestione date (nessuna data)	Manage dates (no dates)	Gérer les dates (aucune date)	Gestionar fechas (sin fechas)	Daten verwalten (keine Daten)
tooltip.employeeDatesWithData	Tooltip gestione date dipendente con date	Gestione date (con date assegnate)	Manage dates (with dates assigned)	Gérer les dates (avec dates assignées)	Gestionar fechas (con fechas asignadas)	Daten verwalten (mit zugewiesenen Daten)
tooltip.employeeHasShifts	Tooltip dipendente con turni non eliminabile	Operatore con turni assegnati — impossibile eliminare	Operator has assigned shifts — cannot be deleted	L'opérateur a des quarts assignés — suppression impossible	El operador tiene turnos asignados — no se puede eliminar	Mitarbeiter hat zugewiesene Schichten — kann nicht gelöscht werden
tooltip.exportJson	Tooltip esporta JSON	Esporta JSON	Export JSON	Exporter JSON	Exportar JSON	JSON exportieren
tooltip.hideTranslationKeys	Tooltip nascondi chiavi traduzione	Disattiva modalità chiavi	Hide translation keys	Masquer les clés de traduction	Ocultar claves de traducción	Übersetzungsschlüssel ausblenden
tooltip.locationHasShifts	Tooltip sede con turni non eliminabile	Sede con turni assegnati — impossibile eliminare	Location has assigned shifts — cannot be deleted	Le lieu a des quarts assignés — suppression impossible	La ubicación tiene turnos asignados — no se puede eliminar	Standort hat zugewiesene Schichten — kann nicht gelöscht werden
tooltip.locationShiftsEmpty	Tooltip gestione turni sede senza turni	Gestione turni sede (nessun turno)	Manage shift dates (no shifts)	Gérer dates de quart (aucun quart)	Gestionar fechas de turno (sin turnos)	Schichtdaten verwalten (keine Schichten)
tooltip.locationShiftsWithData	Tooltip gestione turni sede con turni	Gestione turni sede (con turni)	Manage shift dates (with shifts)	Gérer dates de quart (avec quarts)	Gestionar fechas de turno (con turnos)	Schichtdaten verwalten (mit Schichten)
tooltip.nextPeriod	Tooltip periodo successivo	Periodo successivo	Next period	Période suivante	Período siguiente	Nächster Zeitraum
tooltip.nextWeek	Tooltip settimana successiva	Settimana successiva	Next week	Semaine suivante	Semana siguiente	Nächste Woche
tooltip.nextYear	Tooltip anno successivo	Anno successivo	Next year	Année suivante	Año siguiente	Nächstes Jahr
tooltip.openSolverSettings	Tooltip riga vincolo: apri Parametri Solver	Apri i Parametri Solver in una nuova scheda	Open Solver Settings in a new tab	Ouvrir les paramètres du solveur dans un nouvel onglet	Abrir los parámetros del solver en una nueva pestaña	Solver-Einstellungen in einem neuen Tab öffnen
tooltip.prevPeriod	Tooltip periodo precedente	Periodo precedente	Previous period	Période précédente	Período anterior	Vorheriger Zeitraum
tooltip.previousWeek	Tooltip settimana precedente	Settimana precedente	Previous week	Semaine précédente	Semana anterior	Vorherige Woche
tooltip.previousYear	Tooltip anno precedente	Anno precedente	Previous year	Année précédente	Año anterior	Vorjahr
tooltip.saveAndLockWeek	Tooltip salva e blocca settimana	Salva e blocca la settimana corrente	Save and lock current week	Enregistrer et verrouiller la semaine	Guardar y bloquear semana actual	Aktuelle Woche speichern und sperren
tooltip.saveToTemplate	Tooltip salva in template	Salva i turni della settimana visibile come template (senza operatori assegnati)	Save the visible week's shifts as the template (without assigned operators)	Enregistrer les quarts de la semaine visible comme modèle (sans opérateurs affectés)	Guardar los turnos de la semana visible como plantilla (sin operadores asignados)	Die Schichten der sichtbaren Woche als Vorlage speichern (ohne zugewiesene Operatoren)
tooltip.saveToTemplateWeekOnly	Tooltip salva in template solo vista settimanale	Disponibile solo in vista settimanale	Available only in weekly view	Disponible uniquement en vue hebdomadaire	Disponible solo en vista semanal	Nur in der Wochenansicht verfügbar
tooltip.showTranslationKeys	Tooltip mostra chiavi traduzione	Mostra chiavi di traduzione	Show translation keys	Afficher les clés de traduction	Mostrar claves de traducción	Übersetzungsschlüssel anzeigen
tooltip.today	Tooltip vai a oggi	Vai a oggi	Go to today	Aller à aujourd'hui	Ir a hoy	Zu heute springen
tooltip.unlockWeek	Tooltip sblocca settimana	Sblocca la settimana per modificarla	Unlock week to edit it	Déverrouiller la semaine pour la modifier	Desbloquear la semana para editarla	Woche zum Bearbeiten entsperren
tooltip.weekLocked	Tooltip settimana bloccata	Settimana bloccata	Week locked	Semaine verrouillée	Semana bloqueada	Woche gesperrt
validation.emailInvalid	Validazione Email	Inserisci un indirizzo email valido.	Enter a valid email address.	Saisissez une adresse e-mail valide.	Introduce una dirección de correo válida.	Geben Sie eine gültige E-Mail-Adresse ein.
backup.hintAuto	Suggerimento Backup - parte automatica	Il backup automatico gira a intervalli regolari e prima delle operazioni che sovrascrivono i turni.	Automatic backup runs at regular intervals and before operations that overwrite shifts.	La sauvegarde automatique s'exécute à intervalles réguliers et avant les opérations qui écrasent les créneaux.	La copia automática se ejecuta a intervalos regulares y antes de las operaciones que sobrescriben turnos.	Die automatische Sicherung läuft in regelmäßigen Abständen und vor Vorgängen, die Schichten überschreiben.
backup.hintRestore	Suggerimento Backup - parte ripristino	Prima del ripristino viene creato uno snapshot di sicurezza per consentire il recupero.	A safety snapshot is created before restore to enable recovery.	Un instantané de sécurité est créé avant la restauration afin de permettre la récupération.	Antes de restaurar se crea una instantánea de seguridad para permitir la recuperación.	Vor der Wiederherstellung wird ein Sicherheitssnapshot erstellt, um eine Wiederherstellung zu ermöglichen.
backup.emptyUnavailable	Messaggio nessun backup con funzione non disponibile	Nessun backup: la funzione non è al momento disponibile.	No backups: the feature is currently unavailable.	Aucune sauvegarde : la fonction n'est pas disponible actuellement.	Sin copias: la función no está disponible en este momento.	Keine Sicherungen: die Funktion ist derzeit nicht verfügbar.
msg.err.backupToolsUnavailable	Errore strumenti di backup non disponibili	Backup non disponibile: gli strumenti client del database non sono installati o sono più vecchi del server.	Backup unavailable: the database client tools are not installed or are older than the server.	Sauvegarde indisponible : les outils client de la base de données ne sont pas installés ou sont plus anciens que le serveur.	Copia no disponible: las herramientas cliente de la base de datos no están instaladas o son más antiguas que el servidor.	Sicherung nicht verfügbar: die Client-Tools der Datenbank fehlen oder sind älter als der Server.
msg.err.restoreNotSupported	Errore ripristino non supportato dal motore	Il ripristino automatico non è disponibile su questo database: scarica il backup e ripristinalo con pg_restore.	Automatic restore is not available on this database: download the backup and restore it with pg_restore.	La restauration automatique n'est pas disponible sur cette base de données : téléchargez la sauvegarde et restaurez-la avec pg_restore.	La restauración automática no está disponible en esta base de datos: descarga la copia y restáurala con pg_restore.	Die automatische Wiederherstellung ist für diese Datenbank nicht verfügbar: Sicherung herunterladen und mit pg_restore wiederherstellen.
msg.err.databaseBusy	Errore database occupato	Database occupato: riprova fra qualche istante. Nessun dato è stato modificato.	Database busy: try again shortly. No data was changed.	Base de données occupée : réessayez dans un instant. Aucune donnée n'a été modifiée.	Base de datos ocupada: inténtalo de nuevo en unos instantes. No se ha modificado ningún dato.	Datenbank belegt: in Kürze erneut versuchen. Es wurden keine Daten geändert.
msg.err.backupInProgress	Errore backup in corso	Backup in corso: riprova al termine. Nessun dato è stato modificato.	Backup in progress: try again when it finishes. No data was changed.	Sauvegarde en cours : réessayez une fois terminée. Aucune donnée n'a été modifiée.	Copia en curso: inténtalo de nuevo al finalizar. No se ha modificado ningún dato.	Sicherung läuft: nach Abschluss erneut versuchen. Es wurden keine Daten geändert.
msg.err.notADatabase	Errore backup database non leggibile	Il file selezionato non è un backup del database leggibile. Nessun dato è stato modificato.	The selected file is not a readable database backup. No data was changed.	Le fichier sélectionné n'est pas une sauvegarde de base de données lisible. Aucune donnée n'a été modifiée.	El archivo seleccionado no es una copia de base de datos legible. No se ha modificado ningún dato.	Die ausgewählte Datei ist keine lesbare Datenbanksicherung. Es wurden keine Daten geändert.
msg.err.incompatibleDatabase	Errore backup incompatibile	Il backup non contiene lo schema completo di questa applicazione. Nessun dato è stato modificato.	The backup does not contain this application's complete schema. No data was changed.	La sauvegarde ne contient pas le schéma complet de cette application. Aucune donnée n'a été modifiée.	La copia no contiene el esquema completo de esta aplicación. No se ha modificado ningún dato.	Die Sicherung enthält nicht das vollständige Schema dieser Anwendung. Es wurden keine Daten geändert.
msg.err.noRollbackSnapshot	Errore snapshot di sicurezza	Non è stato possibile creare il backup di sicurezza: ripristino annullato senza modifiche.	The safety backup could not be created: restore was cancelled without changes.	La sauvegarde de sécurité n'a pas pu être créée : restauration annulée sans modification.	No se pudo crear la copia de seguridad: restauración cancelada sin cambios.	Die Sicherheitssicherung konnte nicht erstellt werden: Wiederherstellung ohne Änderungen abgebrochen.
msg.err.promotionBusy	Errore promozione database occupato	Il database è occupato: ripristino annullato senza modifiche. Riprova fra qualche istante.	The database is busy: restore was cancelled without changes. Try again shortly.	La base de données est occupée : restauration annulée sans modification. Réessayez dans un instant.	La base de datos está ocupada: restauración cancelada sin cambios. Inténtalo de nuevo en unos instantes.	Die Datenbank ist belegt: Wiederherstellung ohne Änderungen abgebrochen. In Kürze erneut versuchen.
msg.err.promotionIoError	Errore ripristino database	Il ripristino non è riuscito; verifica lo stato indicato dal server.	Restore failed; check the status reported by the server.	La restauration a échoué ; vérifiez l’état indiqué par le serveur.	La restauración falló; comprueba el estado indicado por el servidor.	Die Wiederherstellung ist fehlgeschlagen; prüfen Sie den vom Server gemeldeten Status.
backup.recoveryFile	Indicazione backup di emergenza	Intervento manuale necessario: usa il backup di emergenza	Manual intervention required: use the emergency backup	Intervention manuelle requise : utilisez la sauvegarde d'urgence	Se requiere intervención manual: utiliza la copia de emergencia	Manueller Eingriff erforderlich: Verwenden Sie die Notfallsicherung
msg.err.backupAdminAuthRequired	Errore autenticazione amministrativa backup	Token amministrativo dei backup richiesto.	Backup administrator token required.	Jeton administrateur de sauvegarde requis.	Se requiere el token de administrador de copias.	Administrator-Token für Sicherungen erforderlich.
msg.err.backupAdminTokenNotConfigured	Errore token backup non configurato	API backup disabilitata: configura BACKUP_ADMIN_TOKEN sul server.	Backup API is disabled: configure BACKUP_ADMIN_TOKEN on the server.	L’API de sauvegarde est désactivée : configurez BACKUP_ADMIN_TOKEN sur le serveur.	La API de copias está deshabilitada: configura BACKUP_ADMIN_TOKEN en el servidor.	Die Sicherungs-API ist deaktiviert: Konfigurieren Sie BACKUP_ADMIN_TOKEN auf dem Server.
backup.adminAuthRequired	Richiesta token amministrativo backup	Questa sezione richiede il token amministrativo dei backup.	This section requires the backup administrator token.	Cette section nécessite le jeton administrateur de sauvegarde.	Esta sección requiere el token de administrador de copias.	Dieser Bereich erfordert das Administrator-Token für Sicherungen.
backup.adminToken	Campo token amministrativo backup	Token amministrativo	Administrator token	Jeton administrateur	Token de administrador	Administrator-Token
backup.unlock	Pulsante sblocco backup	Sblocca	Unlock	Déverrouiller	Desbloquear	Entsperren
toast.errorDownload	Errore download backup	Errore durante il download.	Error while downloading.	Erreur lors du téléchargement.	Error durante la descarga.	Fehler beim Herunterladen.
backup.lock	Pulsante blocco backup	Blocca	Lock	Verrouiller	Bloquear	Sperren
msg.err.backupAdminTlsRequired	Errore TLS backup richiesto	Connessione sicura richiesta per amministrare i backup.	A secure connection is required to administer backups.	Une connexion sécurisée est requise pour administrer les sauvegardes.	Se requiere una conexión segura para administrar las copias.	Für die Verwaltung der Sicherungen ist eine sichere Verbindung erforderlich.
msg.err.backupAdminRateLimited	Errore limite autenticazione backup	Troppi tentativi di autenticazione: attendi un minuto.	Too many authentication attempts: wait one minute.	Trop de tentatives d’authentification : attendez une minute.	Demasiados intentos de autenticación: espera un minuto.	Zu viele Authentifizierungsversuche: Warten Sie eine Minute.
msg.err.safetyBackupFailed	Errore backup di sicurezza	Operazione annullata: non è stato possibile creare il backup di sicurezza.	Operation cancelled: the safety backup could not be created.	Opération annulée : la sauvegarde de sécurité n’a pas pu être créée.	Operación cancelada: no se pudo crear la copia de seguridad.	Vorgang abgebrochen: Die Sicherheitssicherung konnte nicht erstellt werden.
login.title	Titolo schermata di accesso	Accedi	Sign in	Connexion	Iniciar sesión	Anmelden
login.subtitle	Sottotitolo schermata di accesso	Inserisci le credenziali per gestire i turni.	Enter your credentials to manage shifts.	Saisissez vos identifiants pour gérer les créneaux.	Introduce tus credenciales para gestionar los turnos.	Zugangsdaten eingeben, um Schichten zu verwalten.
login.username	Campo nome utente	Nome utente	Username	Nom d'utilisateur	Nombre de usuario	Benutzername
login.password	Campo password	Password	Password	Mot de passe	Contraseña	Passwort
login.submit	Pulsante di accesso	Accedi	Sign in	Se connecter	Acceder	Anmelden
login.invalid	Errore credenziali non valide	Nome utente o password non corretti.	Incorrect username or password.	Nom d'utilisateur ou mot de passe incorrect.	Nombre de usuario o contraseña incorrectos.	Benutzername oder Passwort falsch.
login.unreachable	Errore server non raggiungibile	Server non raggiungibile. Riprova fra qualche istante.	Server unreachable. Try again shortly.	Serveur injoignable. Réessayez dans un instant.	Servidor no disponible. Inténtalo de nuevo en unos instantes.	Server nicht erreichbar. In Kürze erneut versuchen.
user.roleAdmin	Etichetta ruolo amministratore	Amministratore	Administrator	Administrateur	Administrador	Administrator
user.roleCaposala	Etichetta ruolo gestione turni	Gestione turni	Shift management	Gestion des créneaux	Gestión de turnos	Schichtverwaltung
user.logout	Voce di menu per uscire	Esci	Sign out	Se déconnecter	Cerrar sesión	Abmelden
user.exitApp	Voce di menu per chiudere l'app	Chiudi applicazione	Close application	Fermer l’application	Cerrar aplicación	Anwendung schließen
confirm.exitAppTitle	Titolo conferma uscita app	Chiudere l'applicazione?	Close the application?	Fermer l’application ?	¿Cerrar la aplicación?	Anwendung schließen?
confirm.exitAppBody	Testo conferma uscita app	L'app verrà chiusa per tutti gli utenti collegati su questo PC.	The app will close for all users on this PC.	L’application sera fermée pour tous les utilisateurs de ce PC.	La app se cerrará para todos los usuarios de este PC.	Die App wird für alle Benutzer auf diesem PC geschlossen.
confirm.exitAppConfirm	CTA conferma uscita app	Chiudi app	Close app	Fermer l’app	Cerrar app	App schließen
msg.err.userUsernameRequired	Il nome utente è obbligatorio	Il nome utente è obbligatorio.	Username is required	Nom d'utilisateur obligatoire	Nombre de usuario obligatorio	Benutzername ist erforderlich
msg.err.userPasswordRequired	La password è obbligatoria	La password è obbligatoria.	Password is required	Mot de passe obligatoire	Contraseña obligatoria	Passwort ist erforderlich
msg.err.userRoleInvalid	Ruolo non valido	Ruolo non valido.	Invalid role	Rôle non valide	Rol inválido	Ungültige Rolle
msg.err.userDuplicate	Nome utente già in uso	Nome utente già in uso.	Username already in use	Nom d'utilisateur déjà utilisé	Nombre de usuario ya en uso	Benutzername bereits vergeben
msg.err.userNotFound	Utente non trovato	Utente non trovato.	User not found	Utilisateur introuvable	Usuario no encontrado	Benutzer nicht gefunden
msg.err.userCannotSelfDeactivate	Non puoi disattivare il tuo account	Non puoi disattivare il tuo account.	You cannot deactivate your own account	Vous ne pouvez pas désactiver votre propre compte	No puedes desactivar tu propia cuenta	Sie können Ihr eigenes Konto nicht deaktivieren
nav.users	Navigazione: gestione utenti	Utenti	Users	Utilisateurs	Usuarios	Benutzer
btn.addUser	Pulsante aggiungi utente	Aggiungi utente	Add user	Ajouter un utilisateur	Añadir usuario	Benutzer hinzufügen
